name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
James A. Robinson,0000-0001-8888-2549,Economics,80,431,58369,2.88,2.46,0.2696,0.1524,0.4454,145,200,200,75,2006,2026,0.3,0.263,0.0404,0.08,0.15,0.9297,0.4166,0.01
Claudia Goldin,0000-0002-7189-0463,Economics,74,384,27871,3.25,1.59,0.2935,0.1994,0.4347,104,162,162,36,2006,2026,0.3,0.2761,0.044,0.074,0.108,0.9156,0.6667,0.0062
Ben S. Bernanke,0000-0003-2185-0852,Economics,85,719,58862,1.24,1.04,0.2586,0.1059,0.4876,116,200,200,25,2006,2026,0.3,0.2844,0.0388,0.085,0.075,0.9069,0.0,0.0
Douglas W. Diamond,0000-0001-6747-7800,Economics,44,95,43633,4.82,1.59,0.2972,0.1714,0.4859,28,44,44,19,2006,2026,0.3,0.2761,0.0446,0.044,0.057,0.8777,0.0,0.0
Philip H. Dybvig,0000-0002-8250-8970,Economics,33,112,14865,3.34,1.53,0.2504,0.1,0.4759,15,38,38,13,2006,2026,0.3,0.2771,0.0376,0.033,0.039,0.8604,0.0,0.0
David Card,0000-0002-0386-5447,Economics,102,698,58312,3.37,1.59,0.329,0.2362,0.4681,142,200,200,40,2006,2026,0.3,0.2762,0.0493,0.1,0.12,0.9351,0.363,0.02
Joshua D. Angrist,,Economics,87,593,63881,2.98,1.22,0.3761,0.3201,0.4601,127,200,200,40,2005,2025,0.3,0.2818,0.0564,0.087,0.12,0.9349,0.724,0.01
Guido W. Imbens,0000-0002-0767-2977,Economics,91,442,71483,4.97,3.06,0.4312,0.3449,0.5606,169,200,200,49,2006,2026,0.3,0.254,0.0647,0.091,0.147,0.94,0.7634,0.035
Paul R. Milgrom,0000-0002-2179-7173,Economics,49,174,14368,10.53,4.33,0.5278,0.4199,0.6896,33,94,94,21,2006,2026,0.3,0.2351,0.0792,0.049,0.063,0.8799,0.5175,0.4468
Robert B. Wilson,0000-0002-7887-8071,Economics,55,478,21447,3.94,3.49,0.3501,0.2154,0.552,43,69,69,26,2006,2026,0.3,0.2476,0.0525,0.055,0.078,0.8832,0.4291,0.029
Abhijit Banerjee,0000-0002-7865-8316,Economics,76,1262,31220,5.21,1.53,0.3469,0.263,0.4729,168,200,200,62,2006,2026,0.3,0.277,0.052,0.076,0.15,0.9393,0.41,0.05
Esther Duflo,0000-0001-9456-6615,Economics,104,1389,63495,4.83,2.77,0.3845,0.3199,0.4815,158,200,200,56,2006,2026,0.3,0.2584,0.0577,0.1,0.15,0.9441,0.5396,0.065
Michael Kremer,0000-0002-2766-1857,Economics,80,486,31626,4.2,2.62,0.3393,0.2347,0.4963,147,200,200,64,2006,2026,0.3,0.2606,0.0509,0.08,0.15,0.9333,0.429,0.055
William D. Nordhaus,0000-0001-9844-3996,Economics,96,463,46055,1.9,1.47,0.2941,0.1372,0.5296,106,200,200,47,2006,2026,0.3,0.278,0.0441,0.096,0.141,0.9411,0.5208,0.005
