name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
Fraser Stoddart,0000-0003-3161-3697,Chemistry,Nobel,175,137865,1948,7.98,7.41,50,0.373,0.8287,0.245,176,0.6824,0.3376,0.7376,0.4382,1.0,1.0,53.872,52.305,70,18,-52,ok,68.0,18.0,60.11904761904761,71.42857142857143,-50.0
Carolyn R. Bertozzi,0000-0003-4102-4615,Chemistry,Nobel,142,85325,935,9.26,7.89,62,0.4551,0.8384,0.595,157,0.4176,0.3105,0.7617,0.65,1.0,1.0,53.637,49.509,71,43,-28,ok,69.0,43.0,59.523809523809526,54.166666666666664,-26.0
Ben Langmead,0000-0003-2437-1976,Chemistry,Elite (matched),43,131221,222,9.31,6.92,39,0.4053,0.817,0.275,171,0.6412,0.3349,0.7347,0.3147,1.0,0.78,53.244,51.03,72,151,79,ok,70.0,150.0,58.92857142857143,62.5,80.0
Toby J. Gibson,0000-0003-0657-5166,Chemistry,Elite (matched),85,143599,232,11.86,8.07,62,0.3859,0.862,0.371,103,0.7059,0.284,0.7668,0.65,1.0,1.0,53.228,51.687,73,101,28,ok,71.0,101.0,58.333333333333336,67.26190476190477,30.0
Susumu Kitagawa,0000-0001-6956-9543,Chemistry,Elite (matched),146,99022,1270,7.6,6.83,36,0.2932,0.8283,0.14,177,0.4471,0.3584,0.7213,0.2735,1.0,0.72,53.219,50.235,74,40,-34,ok,72.0,40.0,57.738095238095234,57.738095238095234,-32.0
Hong‐Cai Zhou,0000-0002-9029-3788,Chemistry,Elite (matched),153,118166,1046,7.24,7.04,44,0.2588,0.8244,0.09,184,0.5647,0.3578,0.7113,0.3588,1.0,0.88,53.154,51.356,75,30,-45,ok,73.0,30.0,57.14285714285714,64.88095238095238,-43.0
Andrew Holmes,0000-0002-7406-4387,Chemistry,Elite (matched),69,19407,404,8.04,5.62,120,0.3833,0.7458,0.295,127,0.1529,0.3847,0.6733,0.9941,1.0,1.0,53.138,47.036,76,121,45,ok,74.0,121.0,56.547619047619044,41.07142857142857,47.0
P. Mazur,0000-0003-0025-9410,Chemistry,Elite (matched),75,26921,493,5.86,4.17,33,0.4002,0.6768,0.301,39,0.2294,0.4657,0.6215,0.2382,1.0,0.66,53.026,47.583,77,116,39,ok,75.0,116.0,55.952380952380956,45.23809523809524,41.0
Omar K. Farha,0000-0002-9904-9845,Chemistry,Elite (matched),171,117190,1207,8.65,6.82,45,0.3147,0.8206,0.125,179,0.5529,0.345,0.7194,0.3735,1.0,0.9,52.937,50.577,78,20,-58,ok,76.0,20.0,55.35714285714286,59.523809523809526,-56.0
David J. Lipman,0009-0002-3443-2023,Chemistry,Elite (matched),60,146891,114,9.14,5.83,32,0.3652,0.7768,0.453,58,0.7412,0.3648,0.6945,0.2206,1.0,0.64,52.757,51.409,79,129,50,ok,77.0,129.0,54.761904761904766,65.47619047619048,52.0
Alex Bateman,0000-0002-6982-4660,Chemistry,Elite (matched),97,145310,278,16.57,6.72,57,0.4339,0.8351,0.45,173,0.7235,0.286,0.7549,0.5824,1.0,1.0,52.64,50.635,80,85,5,ok,78.0,85.0,54.166666666666664,60.11904761904761,7.0
Akira Suzuki,0000-0002-3854-8223,Chemistry,Nobel,86,43134,1690,9.58,7.21,144,0.4434,0.7787,0.42,152,0.3235,0.3247,0.7116,1.0,1.0,1.0,52.481,47.569,81,100,19,ok,79.0,100.0,53.57142857142857,44.642857142857146,21.0
K. Barry Sharpless,0000-0002-6898-4623,Chemistry,Nobel,137,108473,742,8.83,7.68,58,0.3401,0.8202,0.265,162,0.4706,0.3205,0.7242,0.6059,1.0,1.0,52.329,49.324,82,51,-31,ok,80.0,51.0,52.976190476190474,52.38095238095239,-29.0
Moungi G. Bawendi,0000-0003-2220-4365,Chemistry,Nobel,161,123855,722,8.6,7.34,64,0.416,0.7695,0.33,160,0.5882,0.3319,0.6988,0.7059,1.0,1.0,52.134,49.588,83,27,-56,ok,81.0,27.0,52.38095238095239,54.761904761904766,-54.0
Heng Li,0000-0003-4874-2874,Chemistry,Elite (matched),98,262070,582,17.69,8.29,91,0.5307,0.8113,0.62,146,0.9471,0.2473,0.7552,0.95,1.0,1.0,52.093,51.587,84,83,-1,ok,82.0,83.0,51.78571428571429,66.07142857142857,1.0
John B. Goodenough,0000-0001-9350-3034,Chemistry,Nobel,183,171536,1439,6.82,5.99,55,0.2309,0.7297,0.02,164,0.8412,0.3938,0.6299,0.5353,1.0,1.0,51.959,52.422,85,16,-69,ok,83.0,16.0,51.19047619047619,72.61904761904762,-67.0
Banglin Chen,0000-0001-8707-8115,Chemistry,Elite (matched),152,101234,856,8.38,7.29,38,0.3076,0.8179,0.08,180,0.4529,0.3358,0.7158,0.2971,1.0,0.76,51.947,48.998,86,31,-55,ok,84.0,31.0,50.595238095238095,50.0,-53.0
Shimeng Yu,0000-0002-0068-3652,Chemistry,Elite (matched),76,31327,630,7.08,5.38,57,0.3623,0.7085,0.025,189,0.2529,0.4064,0.6393,0.5824,1.0,1.0,51.85,46.821,87,112,25,ok,85.0,112.0,50.0,39.88095238095239,27.0
Eric Betzig,0000-0002-0395-4560,Chemistry,Nobel,75,40723,219,10.17,8.86,55,0.4635,0.8426,0.418,119,0.3059,0.2778,0.7668,0.5353,1.0,1.0,51.819,46.989,88,116,28,ok,86.0,116.0,49.404761904761905,40.476190476190474,30.0
Simon Anders,0000-0003-4868-1805,Chemistry,Elite (matched),49,159365,162,12.73,8.1,62,0.4732,0.8049,0.298,130,0.8,0.2774,0.7386,0.65,1.0,1.0,51.76,50.522,89,143,54,ok,87.0,142.0,48.80952380952381,58.92857142857143,55.0
T Gingeras,0000-0001-9106-3573,Chemistry,Elite (matched),98,138412,1011,13.51,10.37,56,0.537,0.8634,0.34,87,0.6941,0.2205,0.7981,0.5559,1.0,1.0,51.46,49.459,90,83,-7,ok,88.0,83.0,48.214285714285715,53.57142857142857,-5.0
Horst Hahn,0000-0001-9901-3861,Chemistry,Elite (matched),91,36027,1066,8.38,6.96,77,0.3845,0.7536,0.065,134,0.2882,0.3446,0.6798,0.8235,1.0,1.0,51.443,46.693,91,91,0,ok,89.0,91.0,47.61904761904761,39.285714285714285,2.0
Willem M. de Vos,0000-0002-0273-3166,Chemistry,Elite (matched),193,160987,1319,10.73,8.61,93,0.4922,0.7698,0.64,157,0.8059,0.2795,0.7143,0.9588,1.0,1.0,51.389,50.247,92,8,-84,ok,90.0,8.0,47.023809523809526,58.333333333333336,-82.0
Linda Wang﻿,0000-0001-6308-2769,Chemistry,Elite (matched),40,9641,1717,7.47,5.12,85,0.5599,0.6333,0.59,148,0.0706,0.407,0.6186,0.9,0.9641,1.0,51.2,43.546,93,156,63,ok,91.0,155.0,46.42857142857143,26.785714285714285,64.0
George M. Church,0000-0003-3535-2076,Chemistry,Elite (matched),186,143660,919,13.13,10.45,64,0.5473,0.8439,0.775,108,0.7118,0.2205,0.7846,0.7059,1.0,1.0,51.182,49.286,94,14,-80,ok,92.0,14.0,45.83333333333333,51.78571428571429,-78.0
Louis E. Brus,0000-0002-8276-0242,Chemistry,Nobel,107,56662,421,8.44,6.83,33,0.3134,0.7895,0.084,98,0.3588,0.3473,0.6943,0.2382,1.0,0.66,51.13,47.371,95,74,-21,ok,93.0,74.0,45.23809523809524,43.452380952380956,-19.0
Brian K. Kobilka,0000-0002-6590-7702,Chemistry,Nobel,140,79550,518,11.64,10.35,60,0.562,0.8434,0.64,101,0.4059,0.2311,0.7871,0.6265,1.0,1.0,50.976,46.629,96,45,-51,ok,94.0,45.0,44.642857142857146,38.095238095238095,-49.0
